C;gamma;tp;fp;tn;fn;accuracy;mcc
2.0;0.5;3709;1338;2920;549;0.7784103838718586;0.5666472059767629
2.0;2.0;3954;2256;2002;304;0.6993924330295499;0.4487063693386675
8.0;0.0001220703125;3680;661;3597;578;0.8545136702568351;0.7091530583266571
8.0;0.00048828125;3715;638;3620;543;0.8613231151615576;0.722819661303777
8.0;0.001953125;3775;653;3605;483;0.8666061861364265;0.7337931428767223
8.0;0.0078125;3858;661;3597;400;0.8754134217067108;0.752236481038429
8.0;0.03125;3759;674;3584;499;0.8622573874620271;0.7251312350163533
8.0;0.125;3623;786;3472;635;0.8331347694007181;0.6666945960915349
8.0;0.5;3659;1360;2898;599;0.7699574703120684;0.5487601387968964
8.0;2.0;3944;2260;1998;314;0.6977473073736536;0.4446438375914028
32.0;0.0001220703125;3713;640;3618;545;0.8608536315934824;0.7218800192351338
32.0;0.00048828125;3759;651;3607;499;0.8649627174813588;0.7303856683625711
32.0;0.001953125;3816;644;3614;442;0.872477492405413;0.7457903783840899
32.0;0.0078125;3857;655;3603;401;0.8759991714995857;0.753337779620789
32.0;0.03125;3653;666;3592;605;0.8507520022093343;0.7015750501396144
32.0;0.125;3514;829;3429;744;0.8152844518088926;0.6307034156863885
32.0;0.5;3649;1370;2888;609;0.7676072908036453;0.5439862358930522
32.0;2.0;3945;2264;1994;313;0.6973943661971832;0.44415349743107035
128.0;0.0001220703125;3738;646;3612;520;0.8630836785418394;0.7264806580997771
128.0;0.00048828125;3787;647;3611;471;0.8687199668599834;0.7380661768519533
128.0;0.001953125;3848;650;3608;410;0.8755305164319248;0.7522527215843493
128.0;0.0078125;3794;656;3602;464;0.8684819110742887;0.7377160744446152
128.0;0.03125;3551;708;3550;707;0.8338420325876829;0.6676843772671492
128.0;0.125;3484;862;3396;774;0.8078906379453189;0.6159136071108632
128.0;0.5;3646;1373;2885;612;0.7669016846175091;0.5425540650218988
128.0;2.0;3946;2265;1993;312;0.6973940900303782;0.4442745994081542
512.0;0.0001220703125;3761;654;3604;497;0.8648458989229495;0.730181818201522
512.0;0.00048828125;3824;649;3609;434;0.8728309859154929;0.7466076058706771
512.0;0.001953125;3842;650;3608;416;0.8748257387462027;0.7507822956093568
512.0;0.0078125;3684;679;3579;574;0.8528646782656724;0.7059450612748923
512.0;0.03125;3456;755;3503;802;0.8171676332504832;0.6343740154715214
512.0;0.125;3456;861;3397;802;0.8047172051919359;0.6094995657563725
512.0;0.5;3641;1370;2888;617;0.7666672190002762;0.5418897317975241
512.0;2.0;3946;2265;1993;312;0.6973940900303782;0.4442745994081542
2048.0;0.0001220703125;3788;655;3603;470;0.8678980944490473;0.7364869115829286
2048.0;0.00048828125;3858;651;3607;400;0.8765885114609224;0.7544825002837505
2048.0;0.001953125;3821;654;3604;437;0.871888428610881;0.7447441805713125
2048.0;0.0078125;3570;685;3573;688;0.8387732670533001;0.6775483128361471
2048.0;0.03125;3381;786;3472;877;0.8047202430267882;0.6095802786615149
2048.0;0.125;3446;866;3392;812;0.8029555371444351;0.6059670033109701
2048.0;0.5;3641;1368;2890;617;0.7669022369511185;0.5423205195227824
2048.0;2.0;3946;2265;1993;312;0.6973940900303782;0.4442745994081542
8192.0;0.0001220703125;3824;662;3596;434;0.8712990886495444;0.7436690508484872
8192.0;0.00048828125;3845;663;3595;413;0.8736478873239436;0.7485905927377999
8192.0;0.001953125;3765;676;3582;493;0.8627296326981495;0.7261288884856592
8192.0;0.0078125;3497;751;3507;761;0.8224540182270091;0.6449054891683965
8192.0;0.03125;3360;811;3447;898;0.7993200773267054;0.5987628545130733
8192.0;0.125;3445;884;3374;813;0.8007296326981497;0.6015397141673852
8192.0;0.5;3641;1383;2875;617;0.7651496824081745;0.5390909047483056
8192.0;2.0;3942;2252;2006;316;0.6984479425573046;0.44562546092586336
32768.0;0.0001220703125;3841;667;3591;417;0.8727075393537698;0.7467085296510927
32768.0;0.00048828125;3829;658;3600;429;0.8723565313449322;0.7457951822908279
32768.0;0.001953125;3654;696;3562;604;0.8473496271748135;0.6948545543178551
