C;gamma;tp;fp;tn;fn;accuracy;mcc
2.82842712474619;0.003906249999999999;3765;689;3569;493;0.8612057442695388;0.7367447645256843
2.82842712474619;0.004645340292979378;3778;693;3565;480;0.8622631869649269;0.7367447645256843
2.82842712474619;0.005524271728019901;3786;694;3564;472;0.8630856117094726;0.7390955774309992
2.82842712474619;0.006569503244169643;3784;696;3562;474;0.8626164043082021;0.7377477155409233
2.82842712474619;0.0078124999999999965;3788;695;3563;470;0.8632038111019055;0.741243685786784
2.82842712474619;0.009290680585958756;3796;697;3561;462;0.8639083126208229;0.743932572578272
2.82842712474619;0.0110485434560398;3813;699;3559;445;0.8656694283347142;0.7454410876009916
2.82842712474619;0.01313900648833928;3819;708;3550;439;0.8653164871582437;0.7474455163604027
2.82842712474619;0.015624999999999991;3822;714;3544;436;0.8649649268157967;0.7468572705494513
2.82842712474619;0.01858136117191751;3819;712;3546;439;0.8648486605909971;0.7457357679501114
2.82842712474619;0.0220970869120796;3826;723;3535;432;0.8643800055233359;0.7458489453894848
2.82842712474619;0.026278012976678568;3822;714;3544;436;0.8649674123170396;0.7427324164775818
2.82842712474619;0.031249999999999986;3813;715;3543;445;0.8637942557304612;0.7390814310718946
3.363585661014858;0.001953125;3756;682;3576;502;0.8609707263186965;0.7289879767735649
3.363585661014858;0.00232267014648969;3763;680;3578;495;0.8620270643468654;0.7302074683885905
3.363585661014858;0.002762135864009951;3769;686;3572;489;0.8620273405136704;0.7338210341504899
3.363585661014858;0.003284751622084822;3771;691;3567;487;0.8616755040044186;0.7355466154940898
3.363585661014858;0.003906249999999999;3773;686;3572;485;0.8624968240817454;0.7352744665123722
3.363585661014858;0.004645340292979378;3785;692;3566;473;0.8632027064346864;0.7374576906193647
3.363585661014858;0.005524271728019901;3787;692;3566;471;0.8634382767191383;0.7365173556616097
3.363585661014858;0.006569503244169643;3785;695;3563;473;0.8628516984258493;0.7401979069520258
3.363585661014858;0.0078124999999999965;3788;695;3563;470;0.8632038111019055;0.7432556560543757
3.363585661014858;0.009290680585958756;3803;695;3563;455;0.8649652029826015;0.7444413512898627
3.363585661014858;0.0110485434560398;3818;703;3555;440;0.8657862468931234;0.7488571226235952
3.363585661014858;0.01313900648833928;3820;707;3551;438;0.8655517812758907;0.7467292769378336
3.363585661014858;0.015624999999999991;3825;711;3547;433;0.8656694283347142;0.7463866610532008
3.363585661014858;0.01858136117191751;3822;714;3544;436;0.8649663076498205;0.7466368101340236
3.363585661014858;0.0220970869120796;3824;715;3543;434;0.8650845070422534;0.7463428131387474
3.363585661014858;0.026278012976678568;3823;711;3547;435;0.8654368958851146;0.7422392918119171
3.363585661014858;0.031249999999999986;3813;715;3543;445;0.8637945318972658;0.7388353917776428
3.9999999999999987;0.001953125;3759;683;3575;499;0.8612051919359294;0.7306645941998499
3.9999999999999987;0.00232267014648969;3768;687;3571;490;0.8617928748964376;0.7316439380889852
3.9999999999999987;0.002762135864009951;3776;688;3570;482;0.8626136426401546;0.7354734633277697
3.9999999999999987;0.003284751622084822;3768;687;3571;490;0.8617925987296328;0.7371549638691813
