C;gamma;tp;fp;tn;fn;accuracy;mcc
3.363585661014858;0.001953125;3757;655;3603;501;0.8642565589616128;0.7289879767735649
3.363585661014858;0.00232267014648969;3763;656;3602;495;0.8648431372549019;0.7302074683885905
3.363585661014858;0.002762135864009951;3777;655;3603;481;0.8666045291355979;0.7338210341504899
3.363585661014858;0.003284751622084822;3786;657;3601;472;0.8674269538801435;0.7355466154940898
3.363585661014858;0.003906249999999999;3783;655;3603;475;0.8673090306545154;0.7352744665123722
3.363585661014858;0.004645340292979378;3792;655;3603;466;0.8683670256835129;0.7374576906193647
3.363585661014858;0.005524271728019901;3790;657;3601;468;0.8678975421154378;0.7365173556616097
3.363585661014858;0.006569503244169643;3807;659;3599;451;0.8696581054957194;0.7401979069520258
3.363585661014858;0.0078124999999999965;3826;666;3592;432;0.8710676608671637;0.7432556560543757
3.363585661014858;0.009290680585958756;3829;664;3594;429;0.8716539629936481;0.7444413512898627
3.363585661014858;0.0110485434560398;3847;664;3594;411;0.8737682960508145;0.7488571226235952
3.363585661014858;0.01313900648833928;3842;668;3590;416;0.8727111295222315;0.7467292769378336
3.363585661014858;0.015624999999999991;3847;675;3583;411;0.8724752830709749;0.7463866610532008
3.363585661014858;0.01858136117191751;3858;686;3572;400;0.8724761115713889;0.7466368101340236
3.363585661014858;0.0220970869120796;3855;684;3574;403;0.8723592930129799;0.7463428131387474
3.363585661014858;0.026278012976678568;3842;688;3570;416;0.8703650925158796;0.7422392918119171
3.363585661014858;0.031249999999999986;3830;690;3568;428;0.8687219000276167;0.7388353917776428
3.9999999999999987;0.001953125;3763;654;3604;495;0.8650784313725491;0.7306645941998499
3.9999999999999987;0.00232267014648969;3768;655;3603;490;0.8655476387738193;0.7316439380889852
3.9999999999999987;0.002762135864009951;3781;652;3606;477;0.8674269538801436;0.7354734633277697
3.9999999999999987;0.003284751622084822;3787;651;3607;471;0.8682493786246894;0.7371549638691813
3.9999999999999987;0.003906249999999999;3788;651;3607;470;0.868366749516708;0.7373973804251669
3.9999999999999987;0.004645340292979378;3792;653;3605;466;0.8686020436343551;0.737912524877239
3.9999999999999987;0.005524271728019901;3799;658;3600;459;0.8688359569179784;0.7384772040802535
3.9999999999999987;0.006569503244169643;3818;665;3593;440;0.8702460646230323;0.7415244754168427
3.9999999999999987;0.0078124999999999965;3828;662;3596;430;0.8717721623860812;0.7446477039670053
3.9999999999999987;0.009290680585958756;3840;664;3594;418;0.8729458713062691;0.7471380260541864
3.9999999999999987;0.0110485434560398;3845;662;3596;413;0.8737677437172051;0.7488155103802174
3.9999999999999987;0.01313900648833928;3846;672;3586;412;0.8727105771886219;0.7468139371780909
3.9999999999999987;0.015624999999999991;3848;676;3582;410;0.8724755592377796;0.7464085648921522
3.9999999999999987;0.01858136117191751;3859;677;3581;399;0.8736512013256007;0.7488970439339087
